,timestamp,current,voltage,soc
150,12/12/2021 7:44,0,54.9,80
151,12/12/2021 7:47,0,54.9,80
152,12/12/2021 7:47,0,54.9,80
153,12/12/2021 7:49,3,54.8,80
154,12/12/2021 7:49,14.4,54.2,80
155,12/12/2021 7:51,0,54.8,80
156,12/12/2021 7:51,0,54.7,80
157,12/12/2021 7:51,20.6,53.9,79
158,12/12/2021 7:53,22.9,53.8,79
159,12/12/2021 7:53,0,54.6,79
160,12/12/2021 7:55,0,54.6,79
161,12/12/2021 8:02,0,54.6,79
162,12/12/2021 8:02,2.2,54.5,78
163,12/12/2021 8:04,0,54.5,78
164,12/12/2021 8:04,0,54.5,78
165,12/12/2021 8:06,0,54.5,78
166,12/12/2021 8:06,0,54.5,78
167,12/12/2021 8:08,4.7,54.3,78
168,12/12/2021 8:08,3.5,54.4,78
169,12/12/2021 8:11,0,54.4,78
170,12/12/2021 8:11,0,54,78
171,12/12/2021 8:13,0,54.3,78
172,12/12/2021 8:13,4.4,54.1,78
173,12/12/2021 8:13,18,53.7,77
174,12/12/2021 8:15,0,54.3,77
175,12/12/2021 8:15,0,54.3,77
176,12/12/2021 8:17,0,54.3,77
177,12/12/2021 8:17,0,54.4,77
178,12/12/2021 8:19,0,54.4,77
179,12/12/2021 8:19,0,54.4,77
180,12/12/2021 8:21,0,54.4,77
181,12/12/2021 8:21,0,54.4,77
182,12/12/2021 8:24,0,54.4,77
183,12/12/2021 8:24,0,54.4,77
184,12/12/2021 8:24,0,54.4,77
185,12/12/2021 8:26,0,54.4,77
186,12/12/2021 8:26,0,54.4,77
187,12/12/2021 8:28,0,54.4,77
188,12/12/2021 8:28,0,54.4,77
189,12/12/2021 8:30,0,54.4,77
190,12/12/2021 8:30,0,54.4,77
191,12/12/2021 8:32,0,54.4,77
192,12/12/2021 8:32,0,54.4,77
193,12/12/2021 8:35,0,54.4,77
194,12/12/2021 8:35,4.6,54.1,77
195,12/12/2021 8:37,13.9,53.6,77
196,12/12/2021 8:39,0,54.1,76
197,12/12/2021 8:39,0,54.1,76
198,12/12/2021 8:39,0.7,54,76
199,12/12/2021 8:41,0,54.1,76
200,12/12/2021 8:43,7.5,53.6,75
201,12/12/2021 8:46,10.4,53.5,75
202,12/12/2021 8:46,0,54,75
203,12/12/2021 8:46,15.4,53.2,75
204,12/12/2021 8:50,0,53.7,74
205,12/12/2021 8:50,0,53.7,74
206,12/12/2021 8:52,0,53.5,74
207,12/12/2021 8:52,12.5,53.1,74
208,12/12/2021 8:54,0,53.6,73
209,12/12/2021 8:56,1.7,53.3,73
210,12/12/2021 8:59,0,53.4,72
211,12/12/2021 8:59,9.4,53.1,72
212,12/12/2021 9:01,1.9,53.4,72
213,12/12/2021 9:01,0.7,53.4,72
214,12/12/2021 9:01,0,53.5,72
215,12/12/2021 9:03,9.3,53.1,72
216,12/12/2021 9:03,3,53.3,72
217,12/12/2021 9:05,0,53.4,72
218,12/12/2021 9:07,0,53.3,72
219,12/12/2021 9:07,2.5,53.3,72
220,12/12/2021 9:10,0.3,53.3,71
221,12/12/2021 9:10,0,53.3,71
222,12/12/2021 9:12,0,53.3,71
223,12/12/2021 9:12,0,53.3,71
224,12/12/2021 9:14,1.7,53.3,71
225,12/12/2021 9:14,0,53.3,71
226,12/12/2021 9:14,0,53.3,71
227,12/12/2021 9:16,0,53.3,71
228,12/12/2021 9:16,0,53.4,71
229,12/12/2021 9:18,0,53.3,71
230,12/12/2021 9:18,0,53.3,71
231,12/12/2021 9:20,0,53.4,71
232,12/12/2021 9:20,0,53.4,71
233,12/12/2021 9:23,0,53.4,71
234,12/12/2021 9:23,0,53.4,71
235,12/12/2021 9:25,0,53.4,71
236,12/12/2021 9:25,0,53.4,71
237,12/12/2021 9:27,0,53.4,71
238,12/12/2021 9:27,0,53.4,71
239,12/12/2021 9:27,0,53.4,71
240,12/12/2021 9:29,0,53.4,71
241,12/12/2021 9:29,0,53.4,71
242,12/12/2021 9:31,0,53.4,71
243,12/12/2021 9:31,0,53.4,71
244,12/12/2021 9:34,0,53.4,71
245,12/12/2021 9:34,0,53.4,71
246,12/12/2021 9:34,0,53.4,71
247,12/12/2021 9:36,0,53.4,71
248,12/12/2021 9:36,0,53.4,71
249,12/12/2021 9:38,0,53.4,71
250,12/12/2021 9:38,0,53.4,71
251,12/12/2021 9:40,0,53.4,71
252,12/12/2021 9:40,0,53.4,71
253,12/12/2021 9:42,0,53.4,71
254,12/12/2021 9:42,0,53.4,71
255,12/12/2021 9:44,0,53.4,71
256,12/12/2021 9:44,0,53.4,71
257,12/12/2021 9:47,0,53.4,71
258,12/12/2021 9:49,0,53.4,71
259,12/12/2021 9:49,0,53.4,71
260,12/12/2021 9:51,0,53.4,66
261,12/12/2021 9:53,0,53.4,66
262,12/12/2021 9:53,0,53.4,66
263,12/12/2021 9:53,0,53.4,66
264,12/12/2021 9:53,0,53.4,66
265,12/12/2021 9:53,0,53.4,66
266,12/12/2021 9:55,0,53.4,66
267,12/12/2021 9:58,0,53.4,66
268,12/12/2021 9:58,0,53.4,66
